type_word	cluster_number	silhouette	medoid_label
ability/nn	12	0.34414843	power/nn
access/nn	4	0.47342625	service/nn
ache/nn	1	0.4875939	drug/nn
activity/nn	12	-0.082759954	power/nn
address/nn	13	0.29588723	book/nn
advantage/nn	12	0.29694623	power/nn
advice/nn	14	-0.04583331	these/dd
affection/nn	9	0.26355815	doubt/nn
aid/nn	4	0.13954285	service/nn
aids/nn	1	0.6262254	drug/nn
allowance/nn	0	0.55865335	discount/nn
aloe/nn	11	0.74299824	orange/nn
ambition/nn	12	0.43709117	power/nn
amount/nn	0	0.08612112	discount/nn
amp/nn	8	0.16721945	bag/nn
answer/nn	9	0.38045442	doubt/nn
anything/pn	5	0.702482	one/pn
appeal/nn	7	0.60862446	appeal/nn
appearance/nn	13	0.36289266	book/nn
application/nn	4	0.28316128	service/nn
appointment/nn	7	0.45033205	appeal/nn
appreciation/nn	9	0.24326679	doubt/nn
arms/nn	10	0.28423882	live/nn
arm/nn	8	-0.046257637	bag/nn
assistant/nn	13	0.350312	book/nn
atmosphere/nn	6	0.48185554	plant/nn
attention/nn	12	0.3528383	power/nn
awareness/nn	1	0.11009233	drug/nn
azalea/nn	8	0.06387719	bag/nn
background/nn	9	0.43008015	doubt/nn
backpack/nn	8	0.49525726	bag/nn
bag/nn	8	0.48678222	bag/nn
balance/nn	12	0.43274304	power/nn
ball/nn	8	0.47885787	bag/nn
band/nn	13	0.37826478	book/nn
bargain/nn	0	0.47100264	discount/nn
bath/nn	8	-0.025707996	bag/nn
bean/nn	11	0.749294	orange/nn
bedroom/nn	8	0.293844	bag/nn
benadryl/np	2	-0.006328402	referrals/nn
benefit/nn	0	0.3081169	discount/nn
best/nn	10	0.5094809	live/nn
bike/nn	8	0.40414485	bag/nn
bill/nn	0	0.15743843	discount/nn
billion/nn	0	0.28501865	discount/nn
bin/nn	8	0.1454964	bag/nn
birth/nn	14	0.2670159	these/dd
bit/rr	5	0.5913327	one/pn
blood/nn	1	0.1470094	drug/nn
blurb/nn	10	0.00860673	live/nn
body/nn	8	0.040653713	bag/nn
bond/nn	0	0.5536279	discount/nn
bonus/nn	0	0.51995987	discount/nn
booklet/nn	13	0.08406617	book/nn
