type_word	cluster_number	silhouette	medoid_label
ability/nn	13	0.14979324	that/dd
access/nn	6	0.6513549	exposure/nn
ache/nn	0	-0.033996485	equipment/nn
activity/nn	5	0.65064394	description/nn
address/nn	3	0.42185152	pat/nn
advantage/nn	7	0.22550038	custody/nn
advice/nn	1	0.60217047	leeway/nn
affection/nn	9	0.7709158	recipe/nn
aid/nn	6	0.57733184	exposure/nn
aids/nn	0	-0.2863331	equipment/nn
allowance/nn	9	0.79825413	recipe/nn
aloe/nn	0	0.24551284	equipment/nn
ambition/nn	0	0.10297803	equipment/nn
amount/nn	5	0.6676398	description/nn
amp/nn	3	0.15759292	pat/nn
answer/nn	6	0.22855216	exposure/nn
anything/pn	13	0.13766995	that/dd
appeal/nn	7	0.29348195	custody/nn
appearance/nn	4	0.3908638	paycheck/nn
application/nn	9	0.76851964	recipe/nn
appointment/nn	2	0.8268693	decision/nn
appreciation/nn	9	0.78885823	recipe/nn
arms/nn	7	0.5355598	custody/nn
arm/nn	4	0.524713	paycheck/nn
assistant/nn	6	0.6608406	exposure/nn
atmosphere/nn	8	0.5988963	process/nn
attention/nn	12	0.08944231	mortgage/nn
awareness/nn	5	0.68382275	description/nn
azalea/nn	0	-0.17491703	equipment/nn
background/nn	7	0.33402845	custody/nn
backpack/nn	4	0.4058342	paycheck/nn
bag/nn	14	0.5628263	headache/nn
balance/nn	0	-0.062248144	equipment/nn
ball/nn	8	0.4838739	process/nn
band/nn	8	0.48293215	process/nn
bargain/nn	14	0.64286506	headache/nn
bath/nn	7	0.07251349	custody/nn
bean/nn	0	0.22760428	equipment/nn
bedroom/nn	7	0.5197418	custody/nn
benadryl/np	7	0.35504898	custody/nn
benefit/nn	0	0.03496135	equipment/nn
best/nn	13	0.109765254	that/dd
bike/nn	3	0.28979406	pat/nn
bill/nn	6	0.13355312	exposure/nn
billion/nn	10	0.6042561	year/nn
bin/nn	7	0.44105312	custody/nn
birth/nn	1	0.5153728	leeway/nn
bit/rr	10	0.14242299	year/nn
blood/nn	3	0.30872154	pat/nn
blurb/nn	14	0.51899385	headache/nn
body/nn	4	0.55957824	paycheck/nn
bond/nn	8	0.19254728	process/nn
bonus/nn	12	-0.09282986	mortgage/nn
booklet/nn	14	0.54197645	headache/nn
books/nn	4	0.46893704	paycheck/nn
book/nn	4	0.40351036	paycheck/nn
brand/nn	5	0.67078394	description/nn
break/nn	13	-0.04028522	that/dd
broadcast/nn	3	0.49573848	pat/nn
buck/nn	9	0.080441914	recipe/nn
budget/nn	8	0.4283392	process/nn
bulb/nn	3	0.20967376	pat/nn
cable/nn	3	0.516657	pat/nn
call/nn	12	0.014639409	mortgage/nn
can/nn	5	0.6426327	description/nn
car/nn	7	0.43836588	custody/nn
card/nn	12	0.2392498	mortgage/nn
cards/nn	4	0.42609107	paycheck/nn
care/nn	0	0.17289756	equipment/nn
cash/nn	12	0.26867324	mortgage/nn
cents/nn	10	0.5565575	year/nn
cent/nn	10	0.57276756	year/nn
certificate/nn	0	-0.14149784	equipment/nn
chance/nn	14	0.6495578	headache/nn
checkbook/nn	4	0.5327853	paycheck/nn
choice/nn	2	0.8717657	decision/nn
clue/nn	1	0.5166556	leeway/nn
clues/nn	1	0.44903713	leeway/nn
coat/nn	4	0.2715601	paycheck/nn
codes/nn	8	0.45063806	process/nn
comedies/nn	4	0.19042826	paycheck/nn
code/nn	12	0.41886026	mortgage/nn
comedy/nn	14	0.20425208	headache/nn
command/nn	7	0.4440493	custody/nn
computer/nn	3	0.645896	pat/nn
concession/nn	2	0.8690777	decision/nn
consistency/nn	5	0.65551615	description/nn
container/nn	14	0.5572726	headache/nn
containers/nn	13	0.07264893	that/dd
contract/nn	11	0.42333916	time/nn
control/nn	5	0.06514223	description/nn
course/nn	8	0.21324006	process/nn
coverage/nn	5	0.5780229	description/nn
credibility/nn	4	0.48168683	paycheck/nn
credit-card/nn	4	0.18652955	paycheck/nn
credit/nn	12	0.4164208	mortgage/nn
creep/nn	1	0.5358763	leeway/nn
cup/nn	5	0.6123712	description/nn
curriculum/nn	8	0.23048261	process/nn
custody/nn	7	0.59319663	custody/nn
cut/nn	12	0.41769746	mortgage/nn
cyanide/nn	0	-0.20269166	equipment/nn
day/nn	10	0.5850652	year/nn
days/nn	10	0.55936044	year/nn
deal/nn	14	0.61293167	headache/nn
decision/nn	2	0.8769118	decision/nn
deer/nn	8	0.53616524	process/nn
degree/nn	6	0.66708326	exposure/nn
degrees/nn	6	0.6444406	exposure/nn
demonstration/nn	5	0.30759114	description/nn
demonstrator/nn	5	0.59813696	description/nn
demos/nn	0	-0.13512759	equipment/nn
demo/nn	2	0.85108435	decision/nn
description/nn	5	0.687845	description/nn
detention/nn	7	0.5364442	custody/nn
diet/nn	3	0.48921064	pat/nn
dignity/nn	0	-0.17510545	equipment/nn
direction/nn	7	0.5426773	custody/nn
discount/nn	12	0.41707137	mortgage/nn
dity/nn	14	0.4693037	headache/nn
dog/nn	3	0.46385655	pat/nn
dollar/nn	5	0.48661157	description/nn
doubt/nn	1	0.41573474	leeway/nn
drainage/nn	8	0.5602923	process/nn
dressing/nn	7	0.4552742	custody/nn
drug/nn	0	0.29546115	equipment/nn
edge/nn	3	0.030311927	pat/nn
education/nn	0	0.17540437	equipment/nn
effect/nn	8	-0.006981271	process/nn
eighties/mc	8	0.19907215	process/nn
eighty/mc	10	0.5847506	year/nn
election/nn	8	0.5730328	process/nn
energy/nn	0	0.3247823	equipment/nn
entertainment/nn	3	0.28443387	pat/nn
equipment/nn	0	0.37352684	equipment/nn
estimate/nn	8	0.18102029	process/nn
evaluation/nn	5	0.5871968	description/nn
everything/pn	13	0.09452323	that/dd
example/nn	14	0.45747837	headache/nn
exercise/nn	14	0.59878033	headache/nn
experience/nn	4	0.47211897	paycheck/nn
exposure/nn	6	0.65768445	exposure/nn
extra/nn	5	0.35501254	description/nn
f/np	13	0.27482122	that/dd
facts/nn	8	0.4826951	process/nn
feel/nn	2	0.8354927	decision/nn
feeling/nn	4	0.13051702	paycheck/nn
felony/nn	14	0.63539433	headache/nn
fifteen/mc	10	0.61809427	year/nn
fifty-thousand/mc	10	0.5487726	year/nn
figures/nn	0	-0.20629564	equipment/nn
figure/nn	14	0.54008514	headache/nn
fingerprint/nn	3	0.56948113	pat/nn
firepower/nn	1	0.42269686	leeway/nn
fish/nn	0	0.21687505	equipment/nn
flavor/nn	5	0.6716785	description/nn
flexibility/nn	1	0.5603635	leeway/nn
focus/nn	3	0.6273943	pat/nn
food/nn	0	0.38249665	equipment/nn
foothold/nn	14	0.6081179	headache/nn
four/nn	10	0.5521274	year/nn
freedom/nn	5	0.6919638	description/nn
friday/np	3	0.64732504	pat/nn
fruit/nn	0	0.23372895	equipment/nn
game/nn	8	0.4171325	process/nn
gift/nn	14	0.07706867	headache/nn
glass/nn	4	0.29623836	paycheck/nn
glimpse/nn	14	0.540695	headache/nn
goal/nn	3	0.30866295	pat/nn
grade/nn	7	0.5606983	custody/nn
graph/nn	11	0.16100596	time/nn
grief/nn	4	0.17328137	paycheck/nn
guidance/nn	1	0.6066964	leeway/nn
gun/nn	14	0.5551015	headache/nn
half/nn	14	0.3143296	headache/nn
hdls/np	13	-0.008294353	that/dd
headache/nn	14	0.66646624	headache/nn
headlines/nn	13	0.20143196	that/dd
headline/nn	13	-0.14260444	that/dd
help/nn	9	0.74480104	recipe/nn
her/pp	13	0.32710478	that/dd
hers/pp	5	0.6484745	description/nn
hint/nn	1	0.3423056	leeway/nn
history/nn	7	0.58950436	custody/nn
homeland/nn	0	0.31285194	equipment/nn
hours/nn	10	0.57075	year/nn
hour/nn	10	0.6093311	year/nn
hug/nn	1	0.4932647	leeway/nn
husband/nn	4	0.52447945	paycheck/nn
idea/nn	1	0.39247888	leeway/nn
