Token.ID	Context	Variant	Recipient.lemma	Theme.lemma	Recipient.type	Theme.type	Recipient.cluster_number	Recipient.silhouette	cluster_combo	Recipient.medoid_label	Theme.cluster_number	Theme.silhouette	Theme.medoid_label	Recipient.medoid	Theme.medoid	tree_cluster
dat-2626	A: Right. I had a recipe from that, um, INTERNATIONAL COOKBOOK TWO, that's a great salad in summertime. Do you, do you garden or not? //B: No we don't, our next door neighbors do and some, a lot of times they'll give us something. //A: Okay. (( )) it's just sliced tomatoes and I put it on a glass plate because it looks real pretty.	ditransitive	us/pp	something/pn	P	I	7	0.17421363	everybody/pn-one/pn	everybody/pn	5	0.67446834	one/pn	everybody/pn	one/pn	8
dat-2627	being here eleven years have a tendency to, uh, find out the, uh, about the different areas of the co-, of the, of the state by reading it. //A: Right, I've read that one too. I only had a subscription once, but my mother always gave me hers and I, I really enjoyed, you know, all the little things that you find out about Texas. //B: Oh yeah, it's, it's, uh, absolutely, it's great the way that it's broken out and you can, uh, set up little trips and day trips and things. It's	ditransitive	me/pp	hers/pp	P	P	7	0.44839486	everybody/pn-these/dd	everybody/pn	14	-0.110879816	these/dd	everybody/pn	other	5
dat-2628	of that as I, as she gets older and does start making decisions. //A: Uh-huh. //B: And be conscious that I need to give her options but not make the decisions for her. //A: Uh-huh. And you don't feel that your relationship with your father has unduly, uh, influenced your relationship with your husband, then.	ditransitive	her/pp	option/nn	P	N	7	0.21008055	everybody/pn-service/nn	everybody/pn	4	0.13330534	service/nn	everybody/pn	service/nn	5
dat-2629	but it is a most powerful work station, all the way around multitasking and I mean a realtime multitasking operating system and computer made. //A: Well, you know, you'd be surprised how many of the various ones are coming in and giving us demos at all times -- //B: Uh-huh. //A: -- and I sit in on all this stuff.	ditransitive	us/pp	demos/nn	P	N	7	0.17421363	everybody/pn-referrals/nn	everybody/pn	2	-0.048197027	referrals/nn	everybody/pn	other	5
dat-2630	B: Yeah. //A: -- and sure enough we got it. //B: Well, uh, my mother-in-law gave us one for Christmas a couple years ago. I don't think it's five inches. I think it's a little bit bigger than that, but it runs on, uh, car batteries and -- //A: Uh-huh.	ditransitive	us/pp	one/pn	P	I	7	0.17421363	everybody/pn-one/pn	everybody/pn	5	0.6876098	one/pn	everybody/pn	one/pn	8
dat-2631	B: -- you know, it, it, it's {makes vocal sounds supposed to be like rap}. //A: [Laughter]. //B: You know, just [laughter] give me shelter. //A: I've, I've found that as I've gotten older that, that some of even the hard rock has started to, to bother me, and it,	ditransitive	me/pp	shelter/nn	P	N	7	0.44839486	everybody/pn-plant/nn	everybody/pn	6	0.4041672	plant/nn	everybody/pn	plant/nn	5
dat-2632	A: [Laughter] Yeah. //B: I'm not much of a hunter, but, I've never even bought a gun myself. My dad's given it to me, or someone's given me one, so I'm probably real illegal. [laughter] I'm carrying guns that aren't even mine. //A: [Laughter] Yeah, it's, it's a hard decision to make.	ditransitive	me/pp	one/pn	P	I	7	0.44839486	everybody/pn-one/pn	everybody/pn	5	0.6876098	one/pn	everybody/pn	one/pn	8
dat-2633	A: [Laughter]. //B: We, uh, we have these classes we attend, uh, management classes and, and they give you books and, and the last book, uh, matter of fact I read was, AT AMERICA'S SERVICE by Carl ((Albrecht)). It talks about, uh, who the customer is and being customer oriented, uh, which falls in line with the T I culture here at Texas Instruments.	ditransitive	you/pp	books/nn	P	N	7	0.17207849	everybody/pn-live/nn	everybody/pn	10	0.4268141	live/nn	everybody/pn	live/nn	5
dat-2634	A: Yeah, we, we are, it's like we are partly responsible for their problems by loaning them all that money, that was really stupid on our part to even loan it to them. You don't loan money to people like that. I mean if you feel like you need to give them something to help them out, fine, but you don't go making billions of dollars of loans in, to people that you can just look at the situation, //B: They know they're not going to pay it back.	ditransitive	them/pp	something/pn	P	I	7	0.2620939	everybody/pn-one/pn	everybody/pn	5	0.67446834	one/pn	everybody/pn	one/pn	8
dat-2635	another friend in, uh, Costa Rica that, she was born there. She's Costa Rican. I guess I do know a little bit. I went to Mexico City one time and stayed. I have been there twice and stayed and, that, aw, that was just really sad. But, a lot of it though is their debt. I think that we should not loan them anymore money, that if we still want to give them money, give them money, quit loaning it to them. You're not going to get it back. Don't be indebted to anybody. Don't be the loaner or borrower. It's just not good. We need to, if we feel like we need to give them money then give it to them, but quit loaning all the money out. Which I don't think we are loaning anymore now, but that's how we got into a problem. If we got, the, we have, we went in the hole by us loaning them all of these billions of dollars. That's common sense, you could just look at it and say they're not going to be able to pay	ditransitive	them/pp	money/nn	P	N	7	0.2620939	everybody/pn-discount/nn	everybody/pn	0	0.5298119	discount/nn	everybody/pn	discount/nn	5
