cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
actress/nn	5.669998012422223	-9.419248337529037	3	0.16001531	wife/nn	wife/nn
advance/vv	1.0102577074879806	10.161006148525116	4	0.53014517	advance/vv	advance/vv
agencies/nn	-12.612674892535201	-1.830913830659565	2	0.3443036	kids/nn	kids/nn
agency/nn	4.574166727624153	6.720860468047532	1	-0.02487725	team/nn	NA
aids/nn	5.3072190972574544	1.0719588790978933	12	0.2148577	student/nn	student/nn
alan/np	5.900808858765243	-1.1396466974225699	13	0.52904487	fred/np	fred/np
america/np	0.2152858543686737	9.0746779129904	4	0.26443985	advance/vv	advance/vv
anybody/pn	-5.418950781991419	-2.9523045504727694	7	0.343534	everybody/pn	everybody/pn
anyone/pn	-5.40012310864902	-3.510158692127285	7	0.24563491	everybody/pn	everybody/pn
anything/pn	-5.802654806436851	-2.8435581756087966	7	0.0497297	everybody/pn	everybody/pn
arm/nn	1.4247492433800697	10.971044723654988	4	0.41798607	advance/vv	advance/vv
army/nn	2.430592705731792	10.025845875351187	1	-0.10209948	team/nn	NA
artist/nn	6.694657246424825	-9.437471008761223	3	0.17200427	wife/nn	wife/nn
association/nn	5.219256134947484	7.16076719907591	1	-0.011312684	team/nn	NA
boss/nn	6.1289555757894085	-10.278561568444584	3	0.24616408	wife/nn	wife/nn
boys/nn	-12.41335733517089	-3.683632227148882	2	0.5979984	kids/nn	kids/nn
boy/nn	2.2907982735648345	-6.465296673561383	9	0.5155341	boy/nn	boy/nn
brother/nn	4.1489488545431685	-10.625279802731594	3	-0.22711816	wife/nn	NA
bush/np	4.734957018146287	10.76700002087812	0	0.5246251	candidate/nn	candidate/nn
businesses/nn	-13.590647616596634	-3.659255216771428	2	0.4080819	kids/nn	kids/nn
business/nn	6.870142906019093	6.172607399998398	8	0.53561205	business/nn	business/nn
campaign/nn	4.809207768190476	10.469177180470998	0	0.5033259	candidate/nn	candidate/nn
candidate/nn	5.133719651646361	10.363131144137164	0	0.49638757	candidate/nn	candidate/nn
car/nn	6.375666127299495	4.957264327626657	8	0.35089904	business/nn	business/nn
charity/nn	5.026864428933148	7.001130570199325	8	0.0142884925	business/nn	business/nn
child/nn	1.9451090706781387	-7.63943965812862	9	0.33494166	boy/nn	boy/nn
citizen/nn	1.2008036551602468	3.199902416310433	5	0.12464617	people/nn	people/nn
city/nn	3.627593544830093	8.59430444008296	1	0.33092293	team/nn	team/nn
companies/nn	-13.216280733493303	-4.233485064049753	2	0.5218712	kids/nn	kids/nn
company/nn	6.19103048803518	5.84209766260445	8	0.51601124	business/nn	business/nn
competitor/nn	6.36115267943613	6.67953337681983	8	0.25118494	business/nn	business/nn
