cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
ability/nn	-0.39038513069935954	5.665092628740746	12	0.34414843	power/nn	power/nn
access/nn	4.009661804329761	16.893763999360026	4	0.47342625	service/nn	service/nn
ache/nn	-23.37271091929393	14.768447225508819	1	0.4875939	drug/nn	drug/nn
activity/nn	-2.623855240020062	15.713672322138585	12	-0.082759954	power/nn	NA
address/nn	-3.545728175773817	-19.54071314363796	13	0.29588723	book/nn	book/nn
advantage/nn	3.4296562675528937	7.142750237448655	12	0.29694623	power/nn	power/nn
advice/nn	-12.11482407770743	-7.959450834918436	14	-0.04583331	these/dd	NA
affection/nn	0.1603194330213394	0.7812910918252503	9	0.26355815	doubt/nn	doubt/nn
aid/nn	4.1172506847826496	13.875794828761832	4	0.13954285	service/nn	service/nn
aids/nn	-20.553931678108434	14.62191163763836	1	0.6262254	drug/nn	drug/nn
allowance/nn	31.571098266911033	11.580081742923262	0	0.55865335	discount/nn	discount/nn
aloe/nn	-43.21464519244564	14.762924974662022	11	0.74299824	orange/nn	orange/nn
ambition/nn	2.0877008884204735	5.914376400496419	12	0.43709117	power/nn	power/nn
amount/nn	25.9827797631536	4.975488923304754	0	0.08612112	discount/nn	discount/nn
amp/nn	-39.657621536210875	7.575736591189081	8	0.16721945	bag/nn	bag/nn
answer/nn	-3.8614189616484706	-3.5261192178634495	9	0.38045442	doubt/nn	doubt/nn
anything/pn	-19.53156239412472	-1.9189974506039893	5	0.702482	one/pn	one/pn
appeal/nn	11.985042629395226	12.151657029147678	7	0.60862446	appeal/nn	appeal/nn
appearance/nn	-3.732103839192891	-20.016715379434466	13	0.36289266	book/nn	book/nn
application/nn	-0.06870063896481245	15.20992529847495	4	0.28316128	service/nn	service/nn
appointment/nn	-0.5144706158409561	-18.140870947313836	7	0.45033205	appeal/nn	appeal/nn
appreciation/nn	0.03180641150066244	1.3045682908022544	9	0.24326679	doubt/nn	doubt/nn
arms/nn	42.26859070284842	-20.10600618893124	10	0.28423882	live/nn	live/nn
arm/nn	-32.826840852210914	6.455930112005753	8	-0.046257637	bag/nn	NA
assistant/nn	-12.29303331569356	-17.186426147530707	13	0.350312	book/nn	book/nn
atmosphere/nn	-32.33976371759288	10.328588560521906	6	0.48185554	plant/nn	plant/nn
attention/nn	4.425965965367961	8.027541416932051	12	0.3528383	power/nn	power/nn
awareness/nn	-3.1081456675881554	15.7644950111463	1	0.11009233	drug/nn	drug/nn
azalea/nn	-35.83519362130957	-1.0945208337444516	8	0.06387719	bag/nn	bag/nn
background/nn	-3.9165643410327884	-1.285993253548419	9	0.43008015	doubt/nn	doubt/nn
backpack/nn	-39.60093168258432	3.9227939791890454	8	0.49525726	bag/nn	bag/nn
bag/nn	-39.86707987832405	4.500851823649082	8	0.48678222	bag/nn	bag/nn
balance/nn	1.71809443684354	6.583930198525354	12	0.43274304	power/nn	power/nn
ball/nn	-41.71251701012951	4.208177022093249	8	0.47885787	bag/nn	bag/nn
band/nn	-13.423392702493542	-21.514609689762075	13	0.37826478	book/nn	book/nn
bargain/nn	31.143297069077995	6.139451711505914	0	0.47100264	discount/nn	discount/nn
bath/nn	-38.31416032895191	11.567387965723126	8	-0.025707996	bag/nn	NA
bean/nn	-42.1716725015606	15.445331896746401	11	0.749294	orange/nn	orange/nn
bedroom/nn	-37.000325279369314	7.7486449306903955	8	0.293844	bag/nn	bag/nn
benadryl/np	38.67185284823878	-19.038346163007137	2	-0.006328402	referrals/nn	NA
benefit/nn	28.399195957841748	13.443750284413193	0	0.3081169	discount/nn	discount/nn
best/nn	44.71610537857134	-21.40505159312748	10	0.5094809	live/nn	live/nn
bike/nn	-38.07822743076451	6.353164465258353	8	0.40414485	bag/nn	bag/nn
bill/nn	26.287680088235312	12.494213439910967	0	0.15743843	discount/nn	discount/nn
billion/nn	33.95079352610522	3.392463371054268	0	0.28501865	discount/nn	discount/nn
bin/nn	-39.24301141655983	10.76469384434276	8	0.1454964	bag/nn	bag/nn
birth/nn	-15.518632903867342	-11.243726079589148	14	0.2670159	these/dd	these/dd
