Predictor	Varimp
Recipient.advance.bin	0.01349895427392165
Recipient.kids.bin	0.0045604185297954
Recipient.everybody.bin	0.17586524660388436
Recipient.business.bin	0.00793892219510569
Recipient.people.bin	0.00634636457795958
Recipient.person.bin	0.00162749924810704
Recipient.it.bin	0.03387675707603422
Theme.power.bin	0.01183221301912551
Theme.service.bin	0.00164378170738773
Theme.drug.bin	0.00487926446268436
Theme.other.bin	0.00584096633691877
Theme.book.bin	0.01134291490901574
Theme.doubt.bin	0.00222098376127314
Theme.discount.bin	0.02059469191383035
Theme.bag.bin	0.01182432255310419
Theme.one.bin	0.38257907992001366
Theme.appeal.bin	0.00581752250758694
Theme.plant.bin	0.00893731882575668
Theme.these.bin	4.146897996892563e-5
Theme.referrals.bin	2.4666250267276385e-4
Theme.half.bin	0.00176799830373706
Semantics	0.01904222099984875
Recipient.type.bin	0.1538589896467968
Recipient.definiteness.bin	0.01554468054446203
Recipient.animacy.bin	0.02308112192174343
Theme.definiteness.bin	0.16972806069897373
Length.difference	0.3835247373367622
