cw	x	y	cluster_number	silhouette	medoid_label	final_cluster
ability/nn	14.700176889638405	11.849118350192805	13	0.14979324	that/dd	that/dd
access/nn	-13.656760988732898	-4.46895731394553	6	0.6513549	exposure/nn	exposure/nn
ache/nn	-4.9665465177586166	-21.076533673953623	0	-0.033996485	equipment/nn	NA
activity/nn	16.36379683687163	-26.186169937053663	5	0.65064394	description/nn	description/nn
address/nn	-28.31444079373505	22.001109874496656	3	0.42185152	pat/nn	pat/nn
advantage/nn	-6.133603020660071	-22.165031072886897	7	0.22550038	custody/nn	custody/nn
advice/nn	19.95256900256638	5.418863561205909	1	0.60217047	leeway/nn	leeway/nn
affection/nn	15.0793269620233	22.358672875622318	9	0.7709158	recipe/nn	recipe/nn
aid/nn	-12.159320691676712	-4.664356644754462	6	0.57733184	exposure/nn	exposure/nn
aids/nn	-14.78271787337107	4.470032566050204	0	-0.2863331	equipment/nn	NA
allowance/nn	15.956239467770489	21.78449441736034	9	0.79825413	recipe/nn	recipe/nn
aloe/nn	-3.749796164968356	5.186930310902073	0	0.24551284	equipment/nn	equipment/nn
ambition/nn	0.858493229442243	-0.6338148464644972	0	0.10297803	equipment/nn	equipment/nn
amount/nn	16.590095439283633	-26.299360841273522	5	0.6676398	description/nn	description/nn
amp/nn	-22.086406154233885	26.78562877757076	3	0.15759292	pat/nn	pat/nn
answer/nn	-14.178494230005109	-6.690419922055662	6	0.22855216	exposure/nn	exposure/nn
anything/pn	13.875492378942845	-8.062792738961404	13	0.13766995	that/dd	that/dd
appeal/nn	-9.661617939844605	-25.204192872310166	7	0.29348195	custody/nn	custody/nn
appearance/nn	7.977862477556869	-1.864196559004598	4	0.3908638	paycheck/nn	paycheck/nn
application/nn	14.805244254970777	20.573522607785875	9	0.76851964	recipe/nn	recipe/nn
appointment/nn	24.256774617274665	-4.564593440524494	2	0.8268693	decision/nn	decision/nn
appreciation/nn	14.831019268758293	21.60726660524599	9	0.78885823	recipe/nn	recipe/nn
arms/nn	-13.735881337890163	-23.959389723650705	7	0.5355598	custody/nn	custody/nn
arm/nn	8.088709277769842	-2.9326645540521374	4	0.524713	paycheck/nn	paycheck/nn
assistant/nn	-12.675746272284757	-5.316805145510076	6	0.6608406	exposure/nn	exposure/nn
atmosphere/nn	-16.853700994069527	-13.184829624336727	8	0.5988963	process/nn	process/nn
attention/nn	8.108788033423663	12.61637150896177	12	0.08944231	mortgage/nn	mortgage/nn
awareness/nn	14.27015982750278	-26.636540620221126	5	0.68382275	description/nn	description/nn
azalea/nn	-3.6029083018248107	15.94340622921594	0	-0.17491703	equipment/nn	NA
background/nn	-15.077921874061447	-22.493326282592683	7	0.33402845	custody/nn	custody/nn
backpack/nn	9.730422383833288	0.0223802317520975	4	0.4058342	paycheck/nn	paycheck/nn
bag/nn	-4.051596666444777	19.38041866304185	14	0.5628263	headache/nn	headache/nn
balance/nn	-14.188080001840433	4.3078311100236615	0	-0.062248144	equipment/nn	NA
ball/nn	-18.869642131433082	-10.964609283817861	8	0.4838739	process/nn	process/nn
band/nn	-19.344198570727965	-11.254394125161218	8	0.48293215	process/nn	process/nn
bargain/nn	-5.619707952335299	21.46093676950733	14	0.64286506	headache/nn	headache/nn
bath/nn	-6.109729542984581	-21.291688485669468	7	0.07251349	custody/nn	custody/nn
bean/nn	-2.787969175104529	5.677611020344012	0	0.22760428	equipment/nn	equipment/nn
bedroom/nn	-13.936060897819864	-22.582117594413255	7	0.5197418	custody/nn	custody/nn
benadryl/np	-12.66389751154961	-21.559010820753393	7	0.35504898	custody/nn	custody/nn
benefit/nn	-2.3583492665571546	-0.3174664616982146	0	0.03496135	equipment/nn	equipment/nn
best/nn	2.098686468040656	-10.339943556123723	13	0.109765254	that/dd	that/dd
bike/nn	-22.10474213532815	26.070911440236916	3	0.28979406	pat/nn	pat/nn
bill/nn	-9.469002970319034	-4.126415478722477	6	0.13355312	exposure/nn	exposure/nn
billion/nn	23.888917434340485	-11.900037438220682	10	0.6042561	year/nn	year/nn
bin/nn	-13.897647404482122	-21.746845548215372	7	0.44105312	custody/nn	custody/nn
birth/nn	19.501517814929205	6.325076714471104	1	0.5153728	leeway/nn	leeway/nn
bit/rr	23.0316601946207	-7.932676416104292	10	0.14242299	year/nn	year/nn
blood/nn	-21.73594308894655	22.94971912626743	3	0.30872154	pat/nn	pat/nn
blurb/nn	-7.2503382054233585	23.98489130404444	14	0.51899385	headache/nn	headache/nn
body/nn	8.688493638996675	-3.966093213167898	4	0.55957824	paycheck/nn	paycheck/nn
bond/nn	-8.669529482797119	-4.942708202548023	8	0.19254728	process/nn	process/nn
