Predictor	Varimp
Recipient.wife.bin	-9.423566322843453e-5
Recipient.advance.bin	0.01097438830884802
Recipient.kids.bin	0.013582316760327826
Recipient.other.bin	0.0027437990033477855
Recipient.everybody.bin	0.2694572733860782
Recipient.boy.bin	-2.907582092377421e-4
Recipient.business.bin	0.0037021385658286086
Recipient.people.bin	0.005233997199633376
Recipient.person.bin	0.006198243094639964
Recipient.court.bin	0.0038952375030307795
Recipient.it.bin	0.06999488594250512
Theme.power.bin	0.030608334315831612
Theme.service.bin	0.0027761416727708787
Theme.drug.bin	0.02391007968464997
Theme.other.bin	0.027971085958258243
Theme.book.bin	0.04096627858947528
Theme.doubt.bin	0.02849390515968952
Theme.discount.bin	0.020356414188934736
Theme.orange.bin	-5.583833406174792e-4
Theme.bag.bin	0.015577723301380611
Theme.one.bin	0.42618101401292197
Theme.appeal.bin	0.015114227275840848
Theme.live.bin	-2.065456877844668e-4
Theme.plant.bin	0.024066578599661433
Theme.these.bin	0.003782980100327038
Theme.referrals.bin	0.008861586945246932
Theme.half.bin	0.025607372041117942
