Predictor	Varimp
Recipient.wife.bin	0.002476804248747961
Recipient.advance.bin	0.011375676804145064
Recipient.kids.bin	0.012612780007246813
Recipient.other.bin	0.0022787541571682446
Recipient.everybody.bin	0.2764073830365545
Recipient.boy.bin	9.535497966152435e-4
Recipient.business.bin	0.005794447465517604
Recipient.people.bin	0.005234952994032321
Recipient.person.bin	0.005633361342664816
Recipient.court.bin	0.0025968250020205197
Recipient.it.bin	0.06929718858519175
Theme.power.bin	0.030050841728290333
Theme.service.bin	0.003221531457910073
Theme.drug.bin	0.023032933640829412
Theme.other.bin	0.031947105443882684
Theme.book.bin	0.0454946259164418
Theme.doubt.bin	0.030000418556678288
Theme.discount.bin	0.025350526240654234
Theme.orange.bin	-1.1137917425055498e-4
Theme.bag.bin	0.024147588917750283
Theme.one.bin	0.4196462885060552
Theme.appeal.bin	0.011713930189784989
Theme.live.bin	-8.802556947830326e-4
Theme.plant.bin	0.020567677207691266
Theme.these.bin	0.0025338030753978644
Theme.referrals.bin	0.014179796600390912
Theme.half.bin	0.02869674480952574
