type_word	cluster_number	silhouette	medoid_label
actress/nn	3	0.16001531	wife/nn
advance/vv	4	0.53014517	advance/vv
agencies/nn	2	0.3443036	kids/nn
agency/nn	1	-0.02487725	team/nn
aids/nn	12	0.2148577	student/nn
alan/np	13	0.52904487	fred/np
america/np	4	0.26443985	advance/vv
anybody/pn	7	0.343534	everybody/pn
anyone/pn	7	0.24563491	everybody/pn
anything/pn	7	0.0497297	everybody/pn
arm/nn	4	0.41798607	advance/vv
army/nn	1	-0.10209948	team/nn
artist/nn	3	0.17200427	wife/nn
association/nn	1	-0.011312684	team/nn
boss/nn	3	0.24616408	wife/nn
boys/nn	2	0.5979984	kids/nn
boy/nn	9	0.5155341	boy/nn
brother/nn	3	-0.22711816	wife/nn
bush/np	0	0.5246251	candidate/nn
businesses/nn	2	0.4080819	kids/nn
business/nn	8	0.53561205	business/nn
campaign/nn	0	0.5033259	candidate/nn
candidate/nn	0	0.49638757	candidate/nn
car/nn	8	0.35089904	business/nn
charity/nn	8	0.0142884925	business/nn
child/nn	9	0.33494166	boy/nn
citizen/nn	5	0.12464617	people/nn
city/nn	1	0.33092293	team/nn
companies/nn	2	0.5218712	kids/nn
company/nn	8	0.51601124	business/nn
competitor/nn	8	0.25118494	business/nn
convict/nn	11	0.43158138	person/nn
countries/nn	2	0.5652321	kids/nn
country/nn	4	0.49652928	advance/vv
court/nn	6	0.6224493	court/nn
criminal/nn	11	0.22528817	person/nn
criminals/nn	2	0.37943357	kids/nn
dad/nn	10	0.39601716	mother/nn
daughters/nn	3	0.15507321	wife/nn
daughter/nn	10	0.27433112	mother/nn
district/nn	1	0.15860188	team/nn
dogs/nn	2	0.5007423	kids/nn
employees/nn	2	0.48762307	kids/nn
dog/nn	9	0.44736424	boy/nn
employee/nn	8	0.32719204	business/nn
enterprise/nn	8	0.44556978	business/nn
entrant/nn	0	0.36743388	candidate/nn
environment/nn	8	0.18177351	business/nn
europe/np	4	0.55223686	advance/vv
everybody/pn	7	0.48638642	everybody/pn
everyone/pn	7	0.34812793	everybody/pn
fbi/np	1	0.18590717	team/nn
folk/nn	5	0.3014851	people/nn
food/nn	8	0.5196914	business/nn
fred/np	13	0.6642759	fred/np
friends/nn	2	0.45185325	kids/nn
friend/nn	3	0.2460969	wife/nn
girl/nn	9	0.47217563	boy/nn
government/nn	4	0.18347439	advance/vv
grandparents/nn	2	0.32802674	kids/nn
grandparent/nn	10	0.36190104	mother/nn
group/nn	1	0.11925902	team/nn
grower/nn	8	0.5611115	business/nn
