	actress/nn	advance/vv	agency/nn	aids/nn	alan/np	america/np	anybody/pn	anyone/pn	anything/pn	arm/nn	army/nn	artist/nn	association/nn	boss/nn	boy/nn	brother/nn	bush/np	business/nn	campaign/nn	candidate/nn	car/nn	charity/nn	child/nn	citizen/nn	city/nn	company/nn	competitor/nn	convict/nn	country/nn	court/nn	criminal/nn	dad/nn	daughter/nn	district/nn	dog/nn	employee/nn	enterprise/nn	entrant/nn	environment/nn	europe/np	everybody/pn	everyone/pn	fbi/np	folk/nn	food/nn	fred/np	friend/nn	girl/nn	government/nn	grandparent/nn	group/nn	grower/nn	grown-up/nn	guy/nn	her/pp	him/pp	horses/nn	household/nn	house/nn	husband/nn	individual/nn	iranian/nn	irvin/np	it/pp	judge/nn	jury/nn	kid/nn	kitty/np	lady/nn	leland/np	lord/np	mama/nn	man/nn	management/nn	mater/nn	matter/nn	me/pp	member/nn	mom/nn	mother/nn	myself/pp	nation/nn	nicaragua/np	other/nn	parent/nn	peasant/nn	people/nn	person/nn	plaintiff/nn	planner/nn	president/np	public/nn	rashad/np	reader/nn	rear/vv	russia/np	ryan/np	schwartzkopf/np	scout/nn	sister/nn	somebody/pn	someone/pn	son/nn	stomach/nn	stranger/nn	student/nn	taxpayer/nn	teacher/nn	team/nn	that/dd	them/pp	theory/nn	thing/nn	thomases/np	topic/nn	trek/np	troop/nn	twin/nn	university/nn	us/pp	veteran/nn	veto/nn	vietnamese/nn	washington/np	white/nn	wife/nn	woman/nn	wwf/np	you/pp
actress/nn	0.0	3.7194831	3.2281642	2.380915	1.4285464	3.5777	2.1343396	2.3180368	2.4183118	3.7055862	3.3238833	1.1231629	2.7442348	0.8279589	1.1540854	0.8945461	2.742957	3.4260032	2.9264112	2.8315806	3.078109	3.0286794	1.0027331	2.906085	2.3951943	3.3032706	3.5112758	1.7829148	3.661027	2.5028024	2.029701	0.95234793	0.83140224	2.0927804	1.3401215	2.7394388	3.54963	2.7069068	3.2385519	3.8664951	2.1874456	2.2387311	2.7774339	2.006632	3.3179266	1.5234812	0.95988756	1.0504869	3.3934798	0.9473306	2.8852367	3.4173033	1.072985	1.6818218	1.5447778	1.9102575	2.259194	2.5589707	2.6253395	0.7730492	2.399343	3.5960197	1.652241	2.3828158	2.1993048	2.4125412	1.0791436	0.90468967	1.137523	0.8175382	0.8959077	1.0073209	1.6144665	3.279976	1.3071691	2.6956234	1.8831074	2.7870698	1.0247887	0.8783114	1.9440818	3.6518924	3.9597068	2.6200733	0.87909377	2.4078274	2.162062	1.977285	2.505664	3.3034675	2.3124387	2.3936267	0.9788744	1.8144617	1.7155007	3.7434857	0.7238074	3.2668235	1.2514822	0.77782255	1.895958	1.8901954	0.8137198	1.7348171	1.108738	1.702421	3.1889048	1.4369688	2.906935	2.4566417	1.8851901	2.7717774	2.3837488	0.93071365	2.6719658	0.39498565	3.5214858	0.87040114	1.7988156	1.4505101	2.759591	3.0874329	3.427427	1.9221402	2.030079	0.7858635	1.601673	1.817276	2.1336315
advance/vv	3.7194831	0.0	1.2681736	1.6353457	2.8316712	0.6848916	3.2424881	3.0646434	3.3517253	0.42295164	0.6083289	2.6360111	1.3609071	3.6421063	3.9176419	4.501377	1.708173	1.2512021	1.5845869	1.4711812	1.444401	1.3149686	3.4425585	0.91871303	1.6872027	1.3480409	1.1252598	2.8298223	0.46078303	2.056962	2.500825	4.3779964	4.416342	2.01083	3.8327577	1.6032405	0.94109666	1.2872009	1.147938	0.34015706	3.2928338	3.1055396	1.5815617	2.641147	1.4815633	2.8887777	4.402494	3.8939188	0.63496184	4.239991	0.9168762	1.3626236	3.6297143	3.3310082	3.4261928	3.248851	3.430486	1.9633493	1.7336028	4.2395654	1.8910558	0.41938263	2.6578999	3.390372	2.2326598	2.108742	3.5165052	4.4645596	3.631971	4.2965293	4.5254416	4.3810234	3.1111948	1.3634859	2.6604242	1.7083365	3.4085028	1.0563802	4.476869	4.350626	3.1355684	0.3154285	0.3087636	1.7226616	3.9215124	1.7866752	2.318196	2.868473	2.0640523	1.202218	2.173788	1.8833141	2.9946842	2.2730548	2.7390852	0.23013343	4.177491	0.7693624	3.5360625	4.4462147	3.2297084	2.9636986	4.343956	3.12383	3.6957896	2.1073806	1.383466	2.3886478	1.3268429	3.4330459	2.7897155	1.652933	3.2219348	4.216236	1.7358586	3.376146	0.3577625	4.509439	2.2457256	2.907322	1.1029998	1.3978193	0.59921855	2.2892385	2.2395942	4.3721733	2.9080632	2.5407984	3.4521565
agency/nn	3.2281642	1.2681736	0.0	1.24453	2.362925	0.996141	3.1291475	2.9579756	3.2905183	1.4779534	1.097542	2.2465231	0.8107519	3.0966783	3.4603324	3.9708443	1.6187246	0.58272636	1.5421683	1.5050019	1.0318002	0.6478743	2.969225	1.0468152	1.39798	0.6038701	0.67817086	2.394498	1.1490227	1.3270546	2.1230035	3.865321	3.8486485	1.495096	3.428184	0.7482177	0.6926901	1.4205114	0.9222347	1.328348	3.2808034	3.122789	0.6458188	2.6485007	0.81051236	2.4575105	3.8637822	3.4236798	0.75036395	3.703491	0.9102146	0.6663723	3.2627137	3.0682626	3.253534	3.1119094	3.340514	1.2583882	1.5327114	3.6791575	1.5004107	1.2906073	2.231818	3.310639	1.5458428	1.4008194	3.1199505	3.932966	3.1967137	3.7294788	3.9580925	3.8977437	2.7649584	0.31036288	2.2241924	1.032066	3.3023372	1.0297918	3.9835553	3.8318975	3.1037133	1.1153538	1.394693	1.4092846	3.40168	1.8737215	2.2904723	2.6289628	1.2543397	0.28091225	2.0170615	1.9080476	2.7076492	2.1531217	2.155447	1.3762178	3.6022463	1.2791646	3.074338	3.9274485	3.091977	2.7500534	3.7526414	3.0855267	3.3411748	1.748625	0.70323426	1.9501083	0.49753478	3.3824818	2.747849	1.2146621	3.1218545	3.687124	1.2151554	2.9094012	1.1760693	3.9381068	1.8377904	2.762952	1.1257285	1.387667	1.3635436	1.9657524	2.009153	3.8475263	2.5774882	2.265809	3.3801641
aids/nn	2.380915	1.6353457	1.24453	0.0	1.9342768	1.3428534	2.305368	2.2088296	2.533364	1.6771426	1.4520804	1.3440814	1.0121455	2.4034698	2.3879004	3.1107762	1.7694538	1.2232338	1.8124626	1.6399812	1.1003278	0.797513	1.9315853	0.81686956	1.3090982	1.2041749	1.3779595	1.4238424	1.458303	1.5677413	1.2761202	2.906402	2.98418	1.3761568	2.3261793	0.804507	1.3130729	1.2631658	1.0039852	1.7358346	2.4536731	2.2958348	1.2448117	1.7043793	1.2195078	2.0517359	3.0674713	2.3853614	1.2608336	2.7586675	0.8369763	1.2635045	2.1636539	2.0219898	2.3562748	2.3166327	2.5352268	0.73885435	1.68112	2.864527	0.7282176	1.560645	1.8585885	2.5564117	1.5789332	1.5117769	2.0162826	3.0597472	2.1518493	2.965223	3.1496909	2.8987575	1.6952678	1.2356405	1.5331495	1.1002923	2.5019658	1.0772293	3.0101511	2.8915365	2.2799327	1.5205554	1.84982	0.8664726	2.4281015	0.9625416	1.3726169	1.6421833	1.5135164	1.3766845	1.8743558	1.2339789	1.9363036	1.2649894	1.1537621	1.7222065	2.845856	1.4209883	1.9908755	3.033242	2.187167	1.8726938	2.9494627	2.195438	2.3921106	0.9047985	1.0199032	1.0836586	1.1737093	2.6495626	1.9478941	0.95168763	2.3790667	2.886571	1.0276306	2.0876892	1.5306174	3.0668378	1.4127692	2.0295968	0.9919347	1.7782218	1.6078221	1.6814996	0.87550175	2.987796	1.4577398	1.2012147	2.580147
alan/np	1.4285464	2.8316712	2.362925	1.9342768	0.0	2.8018646	2.4285781	2.4869828	2.689993	2.8837345	2.3698	1.1673329	1.8194131	1.1032184	2.2742295	2.0375986	1.5762324	2.7149875	1.7310355	1.7443398	2.4103882	2.3686602	1.7302227	2.2014716	1.2647288	2.5521	2.720501	2.0915399	2.8434072	1.6072656	2.0622447	2.1962602	2.052003	0.91205883	2.3864744	2.0936036	2.7831075	1.8773191	2.6396263	2.9728994	2.4904997	2.478904	1.8300594	2.181242	2.6431808	0.2081028	1.9222568	2.2201736	2.5570197	2.0505843	2.0751126	2.7032323	2.0239031	2.362924	2.0384586	2.1796618	2.60284	2.1725075	1.3830854	1.7854012	2.12349	2.7769964	0.32702175	2.7192166	1.2660038	1.6329018	1.9726205	2.0452557	2.1506622	1.7147391	2.0276155	2.3332279	2.2024214	2.4844837	0.63129795	2.097182	2.2056167	1.8288419	2.3239398	2.1023471	2.1754348	2.765166	3.0596232	2.2691596	1.8787974	2.176473	2.1696317	2.3358092	1.6628358	2.364843	1.2296556	2.1040335	0.8990513	1.7434142	1.8491849	2.8450875	1.6137434	2.3977568	2.168524	2.1096997	2.2952144	2.1591597	1.8549577	1.9945632	1.9655658	1.1478275	2.5553753	1.073146	1.936898	2.7630818	1.9272397	2.3319013	2.6800954	1.8037671	2.2071636	1.2246132	2.6147473	2.14794	0.7024595	1.3445163	1.9236684	1.9453368	2.5143569	0.620121	2.0576422	1.9480081	2.0834699	2.0220442	2.4565997
america/np	3.5777	0.6848916	0.996141	1.3428534	2.8018646	0.0	3.242955	3.0578756	3.3713808	0.9544727	0.97934145	2.5047424	1.1853942	3.5273788	3.6958268	4.3458176	1.9266495	0.8181827	1.8294592	1.7306054	1.2759824	0.94751394	3.2189772	0.89923924	1.6916418	1.0179342	0.82254523	2.6147892	0.28873152	1.9739255	2.3326526	4.1879807	4.2311826	1.9752866	3.6231303	1.3356826	0.47283247	1.5216727	0.7093697	0.5844683	3.3362823	3.1472974	1.445567	2.6349332	1.1506711	2.8827944	4.2574162	3.6816154	0.6654229	4.030394	0.81221026	0.9978214	3.4460092	3.1903374	3.4274511	3.2934442	3.4276214	1.6370348	1.8944604	4.0773935	1.6706967	0.8870018	2.6479397	3.3830242	2.1599197	2.0028343	3.3128119	4.2990036	3.4302611	4.1520853	4.365448	4.1894026	2.919964	1.0203267	2.562093	1.4945556	3.45431	1.1570234	4.292136	4.160897	3.2064612	0.45757532	0.7199861	1.5198028	3.7071528	1.7328403	2.2800028	2.7235708	1.9435107	1.0462716	2.3340073	1.9048809	2.984388	2.2446523	2.4456549	0.8561254	4.0266705	1.1041127	3.2964303	4.2684536	3.206719	2.9056854	4.1697373	3.1866632	3.5934033	1.9875623	1.0806105	2.2374635	1.1835297	3.445694	2.8597112	1.3829683	3.1893861	4.074287	1.4998684	3.2522814	0.8524533	4.3200445	2.2014182	2.9748673	1.2021128	1.6438518	1.125602	2.3327787	2.0342948	4.2134504	2.710099	2.400787	3.480183
anybody/pn	2.1343396	3.2424881	3.1291475	2.305368	2.4285781	3.242955	0.0	0.34338874	0.41121176	3.039723	3.0482395	1.8841028	2.9816334	2.1659412	2.0703294	2.6876876	2.5954876	3.2472627	2.7822998	2.5356271	2.9417877	2.9427354	2.0450358	2.5013375	2.7792807	3.2689984	3.348022	1.275482	3.2565527	2.398422	1.192596	2.4229891	2.4831083	2.545191	1.8811277	2.7295196	3.310967	2.1788936	2.7521758	3.4685469	0.46672913	0.4888853	2.7772057	0.91351134	3.260987	2.5776958	2.3958588	1.8819098	2.9668312	2.5396712	2.7400289	3.322167	1.7596462	0.9939808	0.7204337	0.5365251	0.38665968	2.6288264	2.7122478	2.3737798	1.8052133	2.958652	2.603059	0.7060565	2.2798762	2.2238634	1.8424438	2.7638144	1.5964395	2.7626379	2.730603	2.3200731	1.2520367	3.2234588	2.3056376	2.2515247	0.6043631	2.6641562	2.366544	2.506849	0.5865495	3.2914305	3.471485	1.8989005	2.352549	1.6693635	1.0914596	0.96218854	2.422048	3.2522082	2.2339563	1.4537162	1.7251099	1.2866098	2.2017148	3.1675916	2.5447023	3.0051758	1.9015203	2.5219564	0.3121727	0.49042106	2.6450522	0.772589	1.193122	2.1737187	2.980294	2.1475813	2.9865768	0.74902683	0.7227654	2.1431687	0.78203946	2.196452	2.0972779	1.9871911	3.1209798	2.6687527	2.5206773	1.2683076	2.677465	2.8214939	2.9665146	2.537852	1.5999922	2.4368525	1.4401819	1.4747822	0.47900158
anyone/pn	2.3180368	3.0646434	2.9579756	2.2088296	2.4869828	3.0578756	0.34338874	0.0	0.37674642	2.8616822	2.90541	1.9525017	2.882585	2.3129475	2.2704456	2.9168036	2.4844327	3.073792	2.6622093	2.4082797	2.8308265	2.802548	2.2021666	2.349068	2.728171	3.126288	3.185682	1.2613409	3.0720928	2.2431087	1.0807878	2.6534898	2.7000313	2.4987879	2.0809114	2.6078181	3.129156	2.0428553	2.5474033	3.2899165	0.60586137	0.5367346	2.6287482	0.9209494	3.1245697	2.6463366	2.6021712	2.07952	2.7799058	2.7510762	2.6073084	3.1678152	1.9679081	1.1414851	1.0059521	0.7521875	0.4829803	2.5457401	2.6246402	2.5745285	1.6524467	2.7701755	2.6509583	0.6418858	2.1685119	2.061387	2.0250502	2.9915714	1.7707524	2.9627967	2.944735	2.5589032	1.3393043	3.0615299	2.377418	2.0456192	0.8277493	2.5424292	2.6102087	2.731805	0.785697	3.1138468	3.278955	1.7009487	2.547473	1.5534583	1.0019714	0.94838107	2.2650504	3.0923498	2.1688037	1.292611	1.8622595	1.2582579	2.2364728	2.9819233	2.7300906	2.8840277	2.051276	2.7460654	0.56602275	0.5583961	2.8452072	1.0077901	1.4371462	2.1847126	2.825662	2.1880825	2.8514967	0.6865224	0.81492466	1.9262235	0.6400945	2.3948624	1.8812975	2.13624	2.9615636	2.8870509	2.5350406	1.3926508	2.5822573	2.6699588	2.8159235	2.5460234	1.5456263	2.657944	1.5120499	1.4974307	0.6422789
anything/pn	2.4183118	3.3517253	3.2905183	2.533364	2.689993	3.3713808	0.41121176	0.37674642	0.0	3.1391113	3.1874216	2.162662	3.1970038	2.4500754	2.3813834	2.9764802	2.7271419	3.4107013	2.91298	2.659857	3.1675198	3.1393433	2.3898263	2.651192	3.009174	3.4662814	3.520941	1.5413564	3.375308	2.5298975	1.4168047	2.7235947	2.7646575	2.7735372	2.1881578	2.9437602	3.454929	2.3108993	2.875811	3.584022	0.44690958	0.47652626	2.9469028	1.0741503	3.4660747	2.8432558	2.6470606	2.1714776	3.0891924	2.8604927	2.912398	3.506616	2.0950239	1.2511034	1.0011003	0.76481146	0.29649556	2.88119	2.8796942	2.652368	1.9939216	3.0482194	2.8706675	0.42522305	2.4427536	2.3497038	2.1768174	3.0663188	1.8783801	3.051922	3.0001652	2.611644	1.5334797	3.3992772	2.610764	2.3690379	0.72757024	2.8320544	2.6557863	2.809065	0.7713084	3.4114125	3.563062	2.0310783	2.6885648	1.8240545	1.2595605	1.1847819	2.5598643	3.4170487	2.3753242	1.5552617	2.002971	1.4877189	2.524678	3.2599432	2.8173728	3.1585343	2.2057598	2.790603	0.63101983	0.8157554	2.9312112	1.0467685	1.484217	2.4602056	3.1614552	2.448303	3.1694875	0.42116404	0.94332683	2.2555144	0.5621843	2.456589	2.2034967	2.260423	3.2443945	2.9486206	2.7913845	1.4962896	2.8702052	2.9297962	3.0800126	2.7796497	1.8362818	2.7136898	1.7325695	1.7528329	0.44874975
arm/nn	3.7055862	0.42295164	1.4779534	1.6771426	2.8837345	0.9544727	3.039723	2.8616822	3.1391113	0.0	0.7607873	2.6259968	1.5562313	3.6454637	3.8550315	4.488547	1.7737546	1.4260503	1.6805533	1.5120571	1.4482604	1.4594243	3.4177225	0.95318335	1.8126645	1.5123401	1.2932538	2.7290158	0.7565216	2.1265461	2.3818753	4.3409276	4.3988023	2.1097589	3.743654	1.6825664	1.177261	1.2073354	1.2200463	0.6800628	3.0937462	2.9018064	1.7237906	2.4715998	1.5978297	2.94518	4.384652	3.8268642	0.79813427	4.22863	1.0839596	1.5224365	3.5576713	3.1882493	3.2683313	3.0709953	3.227789	1.9940308	1.8384966	4.225814	1.8124691	0.33391765	2.726231	3.196775	2.2936187	2.1533225	3.4575706	4.4599996	3.5527725	4.304894	4.5153174	4.3270993	2.997794	1.5599277	2.7022667	1.733676	3.2345243	1.1896065	4.4271336	4.3323083	2.9434304	0.7019384	0.6168155	1.6410964	3.9065652	1.6479063	2.1488097	2.7160857	2.1339948	1.4311588	2.188617	1.724826	2.9509835	2.153888	2.7308958	0.33795673	4.181873	0.80187577	3.4753754	4.426609	3.0457702	2.7918167	4.3430285	2.9371405	3.5867581	2.1338305	1.468147	2.4132576	1.5283128	3.2338893	2.611677	1.6250764	3.037117	4.190745	1.7223078	3.359835	0.51974976	4.49609	2.323358	2.7994077	1.1565305	1.506952	0.5780156	2.3575792	2.1527658	4.352907	2.8094225	2.4165323	3.2596955
