cluster_number	medoid_label	silhouette	type_word
5	husband/nn	0.1288998	actress/nn
9	advance/vv	0.6079657	advance/vv
2	company/nn	0.32667166	agency/nn
11	theory/nn	0.107306525	aids/nn
0	irvin/np	0.5088955	alan/np
9	advance/vv	0.2515681	america/np
10	anything/pn	0.19971785	anybody/pn
10	anything/pn	0.35724878	anyone/pn
10	anything/pn	0.528515	anything/pn
9	advance/vv	0.5151476	arm/nn
9	advance/vv	0.2348107	army/nn
4	teacher/nn	0.35808763	artist/nn
12	member/nn	0.15890914	association/nn
5	husband/nn	0.28792465	boss/nn
3	kid/nn	0.44223595	boy/nn
7	mother/nn	0.12813616	brother/nn
6	bush/np	0.6752834	bush/np
2	company/nn	0.5377285	business/nn
6	bush/np	0.65863615	campaign/nn
6	bush/np	0.5777188	candidate/nn
2	company/nn	0.33928275	car/nn
2	company/nn	0.40896654	charity/nn
3	kid/nn	0.30523363	child/nn
12	member/nn	0.08457997	citizen/nn
12	member/nn	-0.07325003	city/nn
2	company/nn	0.5660617	company/nn
2	company/nn	0.42094287	competitor/nn
14	man/nn	0.3913407	convict/nn
9	advance/vv	0.48228216	country/nn
13	court/nn	0.6726052	court/nn
8	people/nn	-0.12224151	criminal/nn
7	mother/nn	0.47269413	dad/nn
5	husband/nn	-0.23554918	daughter/nn
0	irvin/np	0.2564383	district/nn
3	kid/nn	0.51996684	dog/nn
2	company/nn	0.29147044	employee/nn
2	company/nn	0.20101774	enterprise/nn
12	member/nn	-0.070630625	entrant/nn
11	theory/nn	0.009230224	environment/nn
9	advance/vv	0.5502869	europe/np
10	anything/pn	0.259995	everybody/pn
10	anything/pn	0.26819587	everyone/pn
13	court/nn	0.16804229	fbi/np
8	people/nn	0.08749756	folk/nn
2	company/nn	0.56068224	food/nn
0	irvin/np	0.5412073	fred/np
5	husband/nn	0.24778506	friend/nn
3	kid/nn	0.45971015	girl/nn
9	advance/vv	0.25891814	government/nn
7	mother/nn	0.41496593	grandparent/nn
12	member/nn	0.2274862	group/nn
2	company/nn	0.58857864	grower/nn
3	kid/nn	0.5082911	grown-up/nn
14	man/nn	0.35631275	guy/nn
1	myself/pp	0.3515005	her/pp
1	myself/pp	0.2585908	him/pp
10	anything/pn	0.46223745	horses/nn
2	company/nn	0.0815586	household/nn
6	bush/np	0.53849137	house/nn
5	husband/nn	0.23784463	husband/nn
11	theory/nn	0.22586516	individual/nn
9	advance/vv	0.5016506	iranian/nn
0	irvin/np	0.60605997	irvin/np
10	anything/pn	0.5251231	it/pp
13	court/nn	0.52106136	judge/nn
13	court/nn	0.65324956	jury/nn
3	kid/nn	0.53458107	kid/nn
7	mother/nn	0.26826546	kitty/np
3	kid/nn	0.3823611	lady/nn
5	husband/nn	0.15235814	leland/np
5	husband/nn	-0.008095012	lord/np
7	mother/nn	0.37474197	mama/nn
14	man/nn	0.50134844	man/nn
2	company/nn	0.50908816	management/nn
4	teacher/nn	-0.15162994	mater/nn
11	theory/nn	0.13635448	matter/nn
1	myself/pp	0.13377228	me/pp
12	member/nn	0.29196033	member/nn
7	mother/nn	0.43834403	mom/nn
7	mother/nn	0.4656647	mother/nn
1	myself/pp	0.28017694	myself/pp
9	advance/vv	0.5277403	nation/nn
9	advance/vv	0.5703687	nicaragua/np
11	theory/nn	0.40253428	other/nn
7	mother/nn	0.19636674	parent/nn
8	people/nn	0.30505455	peasant/nn
8	people/nn	0.36882615	people/nn
14	man/nn	0.314142	person/nn
13	court/nn	0.6949776	plaintiff/nn
2	company/nn	0.23193957	planner/nn
6	bush/np	0.33560976	president/np
8	people/nn	0.32924047	public/nn
4	teacher/nn	0.0135301445	rashad/np
8	people/nn	0.3222729	reader/nn
4	teacher/nn	-0.00937462	rear/vv
9	advance/vv	0.57410836	russia/np
5	husband/nn	0.31860623	ryan/np
9	advance/vv	0.15278557	schwartzkopf/np
3	kid/nn	0.4195094	scout/nn
7	mother/nn	0.24118519	sister/nn
1	myself/pp	-0.020598259	somebody/pn
1	myself/pp	0.03939778	someone/pn
5	husband/nn	0.08471727	son/nn
1	myself/pp	0.39103076	stomach/nn
3	kid/nn	0.053258866	stranger/nn
4	teacher/nn	0.21400511	student/nn
2	company/nn	0.47170553	taxpayer/nn
4	teacher/nn	0.34575135	teacher/nn
12	member/nn	0.025287367	team/nn
10	anything/pn	0.52010554	that/dd
1	myself/pp	0.32372108	them/pp
11	theory/nn	0.5608579	theory/nn
10	anything/pn	0.45304257	thing/nn
5	husband/nn	0.2544347	thomases/np
11	theory/nn	0.45689896	topic/nn
5	husband/nn	0.044000357	trek/np
9	advance/vv	0.49276596	troop/nn
7	mother/nn	0.288568	twin/nn
0	irvin/np	0.41582778	university/nn
1	myself/pp	0.3100408	us/pp
12	member/nn	0.30702537	veteran/nn
6	bush/np	0.52556884	veto/nn
9	advance/vv	0.35024905	vietnamese/nn
0	irvin/np	0.5464246	washington/np
8	people/nn	0.014542822	white/nn
5	husband/nn	-0.034843646	wife/nn
14	man/nn	0.4708761	woman/nn
14	man/nn	0.15972513	wwf/np
10	anything/pn	0.28544724	you/pp
