cluster_number	medoid_label	silhouette	type_word
6	experience/nn	0.17717297	ability/nn
1	access/nn	0.40235674	access/nn
7	transfusion/nn	0.49699464	ache/nn
13	activity/nn	0.4073782	activity/nn
4	broadcast/nn	0.44618118	address/nn
0	thrust/nn	0.14939852	advantage/nn
13	activity/nn	0.18493389	advice/nn
6	experience/nn	0.29876107	affection/nn
1	access/nn	0.32233003	aid/nn
7	transfusion/nn	0.58784884	aids/nn
10	discount/nn	0.22731811	allowance/nn
11	tang/nn	0.6086366	aloe/nn
0	thrust/nn	0.24447858	ambition/nn
9	worth/nn	0.1634441	amount/nn
3	pat/nn	0.02914691	amp/nn
14	one/pn	0.0016117044	answer/nn
14	one/pn	0.64199424	anything/pn
5	jurisdiction/nn	0.6423237	appeal/nn
4	broadcast/nn	0.41827506	appearance/nn
1	access/nn	0.0596726	application/nn
4	broadcast/nn	0.21220139	appointment/nn
6	experience/nn	0.25228646	appreciation/nn
2	drainage/nn	0.3940375	arm/nn
12	list/nn	-0.05510831	assistant/nn
2	drainage/nn	0.29531574	atmosphere/nn
0	thrust/nn	0.26181197	attention/nn
13	activity/nn	0.18354821	awareness/nn
3	pat/nn	0.31708047	azalea/nn
6	experience/nn	0.3850576	background/nn
3	pat/nn	0.40057948	backpack/nn
3	pat/nn	0.31444517	bag/nn
0	thrust/nn	0.33662412	balance/nn
3	pat/nn	0.45592237	ball/nn
4	broadcast/nn	0.17738782	band/nn
10	discount/nn	0.38920978	bargain/nn
2	drainage/nn	0.135691	bath/nn
11	tang/nn	0.6748851	bean/nn
2	drainage/nn	0.13678862	bedroom/nn
11	tang/nn	0.19573987	benadryl/np
10	discount/nn	0.37320468	benefit/nn
14	one/pn	0.32425535	best/nn
3	pat/nn	0.21107315	bike/nn
10	discount/nn	0.16182482	bill/nn
9	worth/nn	0.3993556	billion/nn
3	pat/nn	0.278322	bin/nn
7	transfusion/nn	0.5730769	birth/nn
14	one/pn	0.6036523	bit/rr
7	transfusion/nn	0.33227408	blood/nn
12	list/nn	0.02215628	blurb/nn
2	drainage/nn	0.18813603	body/nn
10	discount/nn	0.24836269	bond/nn
10	discount/nn	0.47301155	bonus/nn
12	list/nn	0.23270144	booklet/nn
4	broadcast/nn	0.1771906	book/nn
11	tang/nn	-0.07921895	brand/nn
4	broadcast/nn	0.46965617	break/nn
4	broadcast/nn	0.48787868	broadcast/nn
9	worth/nn	0.29796824	buck/nn
10	discount/nn	0.3732115	budget/nn
3	pat/nn	0.08580441	bulb/nn
4	broadcast/nn	0.39638093	cable/nn
4	broadcast/nn	0.30540553	call/nn
3	pat/nn	0.013700634	can/nn
2	drainage/nn	-0.010274694	car/nn
10	discount/nn	0.2939797	card/nn
1	access/nn	0.34408045	care/nn
10	discount/nn	0.08510418	cash/nn
9	worth/nn	0.51128423	cent/nn
13	activity/nn	0.056204412	certificate/nn
6	experience/nn	0.13142924	chance/nn
10	discount/nn	0.24552675	checkbook/nn
0	thrust/nn	0.3011847	choice/nn
12	list/nn	-0.1265945	clue/nn
3	pat/nn	0.46321774	coat/nn
5	jurisdiction/nn	0.39044008	code/nn
4	broadcast/nn	0.36262578	comedy/nn
1	access/nn	0.2259372	command/nn
12	list/nn	0.2937947	computer/nn
0	thrust/nn	0.16168576	concession/nn
6	experience/nn	0.23051862	consistency/nn
2	drainage/nn	0.25396338	container/nn
10	discount/nn	0.34347597	contract/nn
1	access/nn	0.18865179	control/nn
13	activity/nn	-0.066697106	course/nn
1	access/nn	-0.0028419602	coverage/nn
6	experience/nn	0.28425193	credibility/nn
10	discount/nn	0.3921974	credit-card/nn
10	discount/nn	0.4551688	credit/nn
14	one/pn	0.4880114	creep/nn
11	tang/nn	0.5667873	cup/nn
13	activity/nn	-0.027326247	curriculum/nn
5	jurisdiction/nn	0.6459247	custody/nn
10	discount/nn	0.41227576	cut/nn
2	drainage/nn	0.36908904	cyanide/nn
8	minute/nn	0.66545916	day/nn
10	discount/nn	0.39708263	deal/nn
5	jurisdiction/nn	0.51487476	decision/nn
3	pat/nn	0.32632744	deer/nn
9	worth/nn	0.15710033	degree/nn
4	broadcast/nn	0.17553324	demonstration/nn
4	broadcast/nn	0.050656494	demonstrator/nn
4	broadcast/nn	0.24345656	demo/nn
12	list/nn	0.08952189	description/nn
5	jurisdiction/nn	0.636768	detention/nn
7	transfusion/nn	0.24278349	diet/nn
6	experience/nn	0.2410056	dignity/nn
6	experience/nn	0.25309294	direction/nn
10	discount/nn	0.49961916	discount/nn
12	list/nn	-0.029402139	dity/nn
3	pat/nn	0.37014982	dog/nn
9	worth/nn	0.4736656	dollar/nn
6	experience/nn	0.39889342	doubt/nn
2	drainage/nn	0.4065452	drainage/nn
2	drainage/nn	-0.1617005	dressing/nn
7	transfusion/nn	0.62639105	drug/nn
2	drainage/nn	0.21570228	edge/nn
1	access/nn	0.35178062	education/nn
13	activity/nn	0.37824363	effect/nn
8	minute/nn	0.2070647	eighty/mc
8	minute/nn	0.08778991	election/nn
1	access/nn	0.37880343	energy/nn
4	broadcast/nn	0.40271944	entertainment/nn
2	drainage/nn	0.17385463	equipment/nn
9	worth/nn	0.4436475	estimate/nn
7	transfusion/nn	0.33294657	evaluation/nn
14	one/pn	0.6205806	everything/pn
6	experience/nn	0.019458879	example/nn
7	transfusion/nn	0.34957722	exercise/nn
6	experience/nn	0.47614768	experience/nn
13	activity/nn	0.16629802	exposure/nn
9	worth/nn	0.10119905	extra/nn
4	broadcast/nn	0.29779404	f/np
14	one/pn	0.3023022	facts/nn
14	one/pn	0.5331789	feel/nn
6	experience/nn	0.48605257	feeling/nn
5	jurisdiction/nn	0.66246396	felony/nn
8	minute/nn	0.4803543	fifteen/mc
9	worth/nn	0.32431436	fifty-thousand/mc
6	experience/nn	0.1253791	figure/nn
12	list/nn	-0.053180307	fingerprint/nn
1	access/nn	0.15272316	firepower/nn
11	tang/nn	0.54420245	fish/nn
11	tang/nn	0.7028534	flavor/nn
1	access/nn	0.07244606	flexibility/nn
0	thrust/nn	0.4469189	focus/nn
11	tang/nn	0.3460276	food/nn
0	thrust/nn	0.19456515	foothold/nn
8	minute/nn	0.579786	four/nn
0	thrust/nn	0.30150297	freedom/nn
4	broadcast/nn	0.12860757	friday/np
11	tang/nn	0.690266	fruit/nn
12	list/nn	-0.04065442	game/nn
3	pat/nn	0.18378185	gift/nn
