Token.ID	Context	Variant	Recipient.lemma	Theme.lemma	Recipient.type	Theme.type	Recipient.cluster_number	cluster_combo	Recipient.medoid_label	Recipient.silhouette	Theme.cluster_number	Theme.medoid_label	Theme.silhouette	Recipient.medoid	Theme.medoid
dat-2626	A: Right. I had a recipe from that, um, INTERNATIONAL COOKBOOK TWO, that's a great salad in summertime. Do you, do you garden or not? //B: No we don't, our next door neighbors do and some, a lot of times they'll give us something. //A: Okay. (( )) it's just sliced tomatoes and I put it on a glass plate because it looks real pretty.	ditransitive	us	something	P	I	1	myself-one	myself	0.3100408	14	one	0.6481437	myself	one
dat-2627	being here eleven years have a tendency to, uh, find out the, uh, about the different areas of the co-, of the, of the state by reading it. //A: Right, I've read that one too. I only had a subscription once, but my mother always gave me hers and I, I really enjoyed, you know, all the little things that you find out about Texas. //B: Oh yeah, it's, it's, uh, absolutely, it's great the way that it's broken out and you can, uh, set up little trips and day trips and things. It's	ditransitive	me	hers	P	P	1	myself-list	myself	0.13377228	12	list	0.13201581	myself	list
dat-2628	of that as I, as she gets older and does start making decisions. //A: Uh-huh. //B: And be conscious that I need to give her options but not make the decisions for her. //A: Uh-huh. And you don't feel that your relationship with your father has unduly, uh, influenced your relationship with your husband, then.	ditransitive	her	option	P	N	1	myself-thrust	myself	0.3515005	0	thrust	0.3024909	myself	thrust
dat-2629	but it is a most powerful work station, all the way around multitasking and I mean a realtime multitasking operating system and computer made. //A: Well, you know, you'd be surprised how many of the various ones are coming in and giving us demos at all times -- //B: Uh-huh. //A: -- and I sit in on all this stuff.	ditransitive	us	demos	P	N	1	myself-NA	myself	0.3100408	NA	NA	NA	myself	NA
dat-2630	B: Yeah. //A: -- and sure enough we got it. //B: Well, uh, my mother-in-law gave us one for Christmas a couple years ago. I don't think it's five inches. I think it's a little bit bigger than that, but it runs on, uh, car batteries and -- //A: Uh-huh.	ditransitive	us	one	P	I	1	myself-one	myself	0.3100408	14	one	0.6461798	myself	one
dat-2631	B: -- you know, it, it, it's {makes vocal sounds supposed to be like rap}. //A: [Laughter]. //B: You know, just [laughter] give me shelter. //A: I've, I've found that as I've gotten older that, that some of even the hard rock has started to, to bother me, and it,	ditransitive	me	shelter	P	N	1	myself-drainage	myself	0.13377228	2	drainage	0.2895649	myself	drainage
dat-2632	A: [Laughter] Yeah. //B: I'm not much of a hunter, but, I've never even bought a gun myself. My dad's given it to me, or someone's given me one, so I'm probably real illegal. [laughter] I'm carrying guns that aren't even mine. //A: [Laughter] Yeah, it's, it's a hard decision to make.	ditransitive	me	one	P	I	1	myself-one	myself	0.13377228	14	one	0.6461798	myself	one
dat-2633	A: [Laughter]. //B: We, uh, we have these classes we attend, uh, management classes and, and they give you books and, and the last book, uh, matter of fact I read was, AT AMERICA'S SERVICE by Carl ((Albrecht)). It talks about, uh, who the customer is and being customer oriented, uh, which falls in line with the T I culture here at Texas Instruments.	ditransitive	you	books	P	N	10	anything-NA	anything	0.28544724	NA	NA	NA	anything	NA
dat-2634	A: Yeah, we, we are, it's like we are partly responsible for their problems by loaning them all that money, that was really stupid on our part to even loan it to them. You don't loan money to people like that. I mean if you feel like you need to give them something to help them out, fine, but you don't go making billions of dollars of loans in, to people that you can just look at the situation, //B: They know they're not going to pay it back.	ditransitive	them	something	P	I	1	myself-one	myself	0.32372108	14	one	0.6481437	myself	one
dat-2635	another friend in, uh, Costa Rica that, she was born there. She's Costa Rican. I guess I do know a little bit. I went to Mexico City one time and stayed. I have been there twice and stayed and, that, aw, that was just really sad. But, a lot of it though is their debt. I think that we should not loan them anymore money, that if we still want to give them money, give them money, quit loaning it to them. You're not going to get it back. Don't be indebted to anybody. Don't be the loaner or borrower. It's just not good. We need to, if we feel like we need to give them money then give it to them, but quit loaning all the money out. Which I don't think we are loaning anymore now, but that's how we got into a problem. If we got, the, we have, we went in the hole by us loaning them all of these billions of dollars. That's common sense, you could just look at it and say they're not going to be able to pay	ditransitive	them	money	P	N	1	myself-worth	myself	0.32372108	9	worth	0.121118724	myself	worth
