Predictor	Varimp
Recipient.husband.bin	0.00737745596783447
Recipient.advance.bin	0.01884740927451903
Recipient.company.bin	0.009997851228262435
Recipient.theory.bin	-0.02629258165320301
Recipient.anything.bin	0.09132569085387801
Recipient.kid.bin	-0.001846275164631414
Recipient.mother.bin	0.004194894260687171
Recipient.other.bin	0.006566850887405519
Recipient.man.bin	-0.0013081530506676372
Recipient.people.bin	0.00394416848107723
Recipient.myself.bin	0.13625591616583993
Theme.experience.bin	0.006437444389467411
Theme.access.bin	-0.0028036082665601446
Theme.transfusion.bin	0.01745815727697704
Theme.activity.bin	0.02096308275832902
Theme.broadcast.bin	0.021883135836968652
Theme.thrust.bin	0.015168132058689925
Theme.discount.bin	0.025149895247822986
Theme.tang.bin	0.0015665003182334118
Theme.worth.bin	0.007283091261629045
Theme.pat.bin	0.003514750909071068
Theme.one.bin	0.2906713513459919
Theme.jurisdiction.bin	0.012709639507190635
Theme.drainage.bin	0.022873103423047814
Theme.other.bin	0.016180548498334595
Theme.list.bin	0.012035742792407973
Theme.minute.bin	0.010753147408351453
