Predictor	Varimp
Recipient.advance.bin	0.018925275649027223
Recipient.company.bin	0.0031237733751899944
Recipient.theory.bin	0.005277874088216977
Recipient.anything.bin	0.042581083401729246
Recipient.kid.bin	7.967030346150643e-4
Recipient.other.bin	0.004398221093067795
Recipient.man.bin	5.50716714397141e-4
Recipient.people.bin	0.003962131568931684
Recipient.myself.bin	0.08043732376315309
Theme.experience.bin	0.009516525376491395
Theme.access.bin	-0.0032219500155070595
Theme.transfusion.bin	0.013265772346758404
Theme.activity.bin	-5.473356626652979e-4
Theme.broadcast.bin	0.00911911309763312
Theme.thrust.bin	0.007367033445766813
Theme.discount.bin	0.009290823991547431
Theme.tang.bin	0.005057788613314916
Theme.worth.bin	0.008673506772922564
Theme.pat.bin	0.002873925347139018
Theme.one.bin	0.42943654046415497
Theme.jurisdiction.bin	0.016349299253072803
Theme.drainage.bin	0.009337449455690452
Theme.other.bin	0.005766784120804842
Theme.list.bin	0.013001440638559162
Theme.minute.bin	0.0014331888310166875
Trad.Semantics	0.017868934220688224
Trad.Recipient.type.bin	0.14933921744081985
Trad.Recipient.definiteness.bin	0.018382438004660537
Trad.Recipient.animacy.bin	0.042747011463880144
Trad.Theme.definiteness.bin	0.17686634050665262
Trad.Length.difference	0.5269137127279953
