cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
actress/nn	6.784052133838506	-3.869371021590367	5	husband/nn	0.1288998	husband/nn
advance/vv	-3.5564604947134493	10.536094151411602	9	advance/vv	0.6079657	advance/vv
agency/nn	-4.383525940178058	6.297734233236012	2	company/nn	0.32667166	company/nn
aids/nn	-4.94736180730893	3.213757513520299	11	theory/nn	0.107306525	theory/nn
alan/np	3.1385068637309095	1.598112556949147	0	irvin/np	0.5088955	irvin/np
america/np	-4.757647315927964	9.396866040538166	9	advance/vv	0.2515681	advance/vv
anybody/pn	-1.8913091956982693	-7.422644746663666	10	anything/pn	0.19971785	anything/pn
anyone/pn	-1.5440233552827582	-7.79273474513659	10	anything/pn	0.35724878	anything/pn
anything/pn	-1.7351674895250628	-8.376179360981062	10	anything/pn	0.528515	anything/pn
arm/nn	-2.7976180887950015	10.88388542746068	9	advance/vv	0.5151476	advance/vv
army/nn	-2.102645532588039	9.621988681651255	9	advance/vv	0.2348107	advance/vv
artist/nn	2.3609648672104084	-0.4283982757640665	4	teacher/nn	0.35808763	teacher/nn
association/nn	-2.857068184877774	6.446625761465135	12	member/nn	0.15890914	member/nn
boss/nn	7.5794915851563776	-3.4512310188564794	5	husband/nn	0.28792465	husband/nn
boy/nn	4.483000598038392	-5.91955129340791	3	kid/nn	0.44223595	kid/nn
brother/nn	8.901262510864216	-5.714852530397068	7	mother/nn	0.12813616	mother/nn
bush/np	0.6325492381351736	5.468204520862091	6	bush/np	0.6752834	bush/np
business/nn	-5.637126497286305	6.910409311896917	2	company/nn	0.5377285	company/nn
campaign/nn	0.7247801178411383	5.786051043636586	6	bush/np	0.65863615	bush/np
candidate/nn	0.3736506706303877	5.958590865245867	6	bush/np	0.5777188	bush/np
car/nn	-6.4730052922130925	5.456115857843016	2	company/nn	0.33928275	company/nn
charity/nn	-5.520556642948738	5.491248726819022	2	company/nn	0.40896654	company/nn
child/nn	4.765745706790785	-6.7717124493808365	3	kid/nn	0.30523363	kid/nn
citizen/nn	-2.3016898621619424	8.228208546596736	12	member/nn	0.08457997	member/nn
city/nn	1.570591486459318	3.5136121703492074	12	member/nn	-0.07325003	NA
company/nn	-5.898326607064987	6.372927149460235	2	company/nn	0.5660617	company/nn
competitor/nn	-6.111647258096278	7.09409797504513	2	company/nn	0.42094287	company/nn
convict/nn	-0.5597782133945983	-4.133297521463829	14	man/nn	0.3913407	man/nn
country/nn	-4.426579620875157	9.786043102225063	9	advance/vv	0.48228216	advance/vv
court/nn	-0.9390320561426577	4.007286645648453	13	court/nn	0.6726052	court/nn
criminal/nn	-1.1841849760824836	-3.8491706907375747	8	people/nn	-0.12224151	NA
dad/nn	7.245330911330138	-6.920471283311486	7	mother/nn	0.47269413	mother/nn
daughter/nn	7.855766586392705	-5.790707048987033	5	husband/nn	-0.23554918	NA
district/nn	1.7249176057117184	3.050945631654824	0	irvin/np	0.2564383	irvin/np
dog/nn	3.9892393823617045	-5.858299706949542	3	kid/nn	0.51996684	kid/nn
employee/nn	-5.524234566141263	4.822495139689864	2	company/nn	0.29147044	company/nn
enterprise/nn	-5.591209251336972	7.728876490121889	2	company/nn	0.20101774	company/nn
entrant/nn	-0.2189030398739937	6.914052133747326	12	member/nn	-0.070630625	NA
environment/nn	-5.529072106135579	8.202763542303716	11	theory/nn	0.009230224	theory/nn
europe/np	-4.312763979397945	10.540950394590734	9	advance/vv	0.5502869	advance/vv
everybody/pn	-2.9164433307321143	-8.04503168468715	10	anything/pn	0.259995	anything/pn
everyone/pn	-2.591137334797222	-7.822927616697611	10	anything/pn	0.26819587	anything/pn
fbi/np	-2.76355964165761	5.279484667674065	13	court/nn	0.16804229	court/nn
folk/nn	-2.7068277148261757	-4.649781859483953	8	people/nn	0.08749756	people/nn
food/nn	-6.44594617818852	6.109198947216298	2	company/nn	0.56068224	company/nn
fred/np	3.133027849429931	1.6600786374891914	0	irvin/np	0.5412073	irvin/np
friend/nn	7.778399204455495	-4.40996235959056	5	husband/nn	0.24778506	husband/nn
girl/nn	4.302924343459908	-5.740706691547355	3	kid/nn	0.45971015	kid/nn
government/nn	-3.2539774090986056	9.331181486284603	9	advance/vv	0.25891814	advance/vv
grandparent/nn	6.736786777726679	-6.242954290239063	7	mother/nn	0.41496593	mother/nn
group/nn	-2.2479472300099013	7.926007607834403	12	member/nn	0.2274862	member/nn
grower/nn	-6.139686911234564	6.450982562011729	2	company/nn	0.58857864	company/nn
grown-up/nn	4.197155483761417	-6.72245699728946	3	kid/nn	0.5082911	kid/nn
guy/nn	0.09995843826758025	-5.217329200490176	14	man/nn	0.35631275	man/nn
her/pp	-3.2110304569712516	-6.823271313755747	1	myself/pp	0.3515005	myself/pp
him/pp	-3.57265835779677	-7.143753667451762	1	myself/pp	0.2585908	myself/pp
horses/nn	-2.107641815469105	-8.426672445433473	10	anything/pn	0.46223745	anything/pn
household/nn	-5.437258186262821	4.070085624672634	2	company/nn	0.0815586	company/nn
house/nn	0.9097424204670919	5.224589114532958	6	bush/np	0.53849137	bush/np
husband/nn	7.6750180409119615	-4.722122869988678	5	husband/nn	0.23784463	husband/nn
individual/nn	-3.7670414042655587	1.413000684687339	11	theory/nn	0.22586516	theory/nn
iranian/nn	-2.723592721608182	10.584637835647223	9	advance/vv	0.5016506	advance/vv
irvin/np	2.796633503842125	1.8877317223250096	0	irvin/np	0.60605997	irvin/np
it/pp	-2.2638636442244113	-9.197639710361885	10	anything/pn	0.5251231	anything/pn
