cw	x	y	cluster_number	medoid_label	silhouette	final_cluster
ability/nn	9.44015179483503	16.691534701278876	6	experience/nn	0.17717297	experience/nn
access/nn	13.267928539487043	6.118501503864056	1	access/nn	0.40235674	access/nn
ache/nn	-12.802470652802544	8.331795061547043	7	transfusion/nn	0.49699464	transfusion/nn
activity/nn	1.185837374700526	11.473394585152208	13	activity/nn	0.4073782	activity/nn
address/nn	-8.081495009604797	-19.786156447013656	4	broadcast/nn	0.44618118	broadcast/nn
advantage/nn	19.80412485764277	10.167771810050576	0	thrust/nn	0.14939852	thrust/nn
advice/nn	1.8083071942408506	8.47453802852742	13	activity/nn	0.18493389	activity/nn
affection/nn	9.834620799114603	20.299985652528584	6	experience/nn	0.29876107	experience/nn
aid/nn	14.650639320349432	6.511454938797632	1	access/nn	0.32233003	access/nn
aids/nn	-14.266062246637775	7.852041884176818	7	transfusion/nn	0.58784884	transfusion/nn
allowance/nn	35.15945832985635	-3.9988728217442495	10	discount/nn	0.22731811	discount/nn
aloe/nn	-35.41948504263236	7.502276890139781	11	tang/nn	0.6086366	tang/nn
ambition/nn	13.751775521439571	14.961083963291573	0	thrust/nn	0.24447858	thrust/nn
amount/nn	39.291595236411	-6.974850108840395	9	worth/nn	0.1634441	worth/nn
amp/nn	-31.24261840715265	-0.3801739853800191	3	pat/nn	0.02914691	pat/nn
answer/nn	-0.0027709892428342668	-0.7343404685282174	14	one/pn	0.0016117044	one/pn
anything/pn	-4.4237826151889905	-3.6048264352251365	14	one/pn	0.64199424	one/pn
appeal/nn	16.24554700978244	-2.66430146814791	5	jurisdiction/nn	0.6423237	jurisdiction/nn
appearance/nn	-7.601104124150482	-19.652998470961457	4	broadcast/nn	0.41827506	broadcast/nn
application/nn	4.2101483446290775	7.415162895544592	1	access/nn	0.0596726	access/nn
appointment/nn	-5.917335050568127	-19.644061303278438	4	broadcast/nn	0.21220139	broadcast/nn
appreciation/nn	10.164345357586628	20.2770232381831	6	experience/nn	0.25228646	experience/nn
arm/nn	-25.58989473720357	0.8872150159653289	2	drainage/nn	0.3940375	drainage/nn
assistant/nn	-13.529162068959048	-14.349911626614642	12	list/nn	-0.05510831	NA
atmosphere/nn	-26.842890629718646	-0.6033956972159839	2	drainage/nn	0.29531574	drainage/nn
attention/nn	14.32881009157633	11.749854782750567	0	thrust/nn	0.26181197	thrust/nn
awareness/nn	7.393289932282549	11.152433910017104	13	activity/nn	0.18354821	activity/nn
azalea/nn	-36.918641760835776	-0.2675481751145429	3	pat/nn	0.31708047	pat/nn
