Predictor	Varimp
Recipient.wife.bin	0.003965067102253126
Recipient.advance.bin	0.011000879481873048
Recipient.kids.bin	0.00980745990902032
Recipient.other.bin	0.002083291177735147
Recipient.everybody.bin	0.26863113231838925
Recipient.boy.bin	4.4357134230233805e-6
Recipient.business.bin	0.0063387608529779475
Recipient.people.bin	0.003622460377657351
Recipient.person.bin	0.0044244558293196875
Recipient.court.bin	0.0025154066265883346
Recipient.it.bin	0.06276090191731375
Theme.power.bin	0.035807197300228244
Theme.service.bin	0.0039893438744321354
Theme.drug.bin	0.02394128028185609
Theme.other.bin	0.02761547652445207
Theme.book.bin	0.04611884218931688
Theme.doubt.bin	0.028893678346218594
Theme.discount.bin	0.027550710097286123
Theme.orange.bin	1.9047688865983118e-4
Theme.bag.bin	0.018704797615766624
Theme.one.bin	0.421149014993264
Theme.appeal.bin	0.01741807467319985
Theme.live.bin	-0.003368477452001129
Theme.plant.bin	0.02154417351016355
Theme.these.bin	0.0023590082183032757
Theme.referrals.bin	0.01502441530803337
Theme.half.bin	0.02195148900823137
